v_wind,device,hub_z_mean,hub_z_std,hub_z_p95,elev_mean,elev_std,P_mean_kw,P_std_kw,P_cv_pct,omega_mean,corr_time_s
8.0,SingleKite,14.973556744575593,0.026324087563767,15.009019364692135,30.062067302958834,0.021830998710300174,1.929765971722057,1.2373610749831627,64.1197478406661,4.806053814541573,15.5
8.0,Stack×3,14.973498888652724,0.026332017835775434,15.008966420664512,30.061929971438985,0.02182208386327411,1.929402456611783,1.237591368729025,64.1437645364231,4.805157624752572,15.5
8.0,RotaryLifter,14.96120723521885,0.03180335014360218,14.996176635365007,30.02096790468771,0.008135942335617022,1.7341548190751863,1.343669238627715,77.48265747946802,4.30656228581891,15.75
8.0,NoLift,14.951215323711004,0.034832957891925524,14.986216606582122,29.972289468296523,0.012071326004112407,1.2783855362839496,1.302304804416754,101.87105278133338,3.3199165966488597,14.700000000000001
11.0,SingleKite,14.959845113521066,0.03544444958417153,15.022363938282163,30.118287911152233,0.03427834887742624,5.940161058671756,2.413590640972008,40.631737374334705,7.723307960540406,13.9
11.0,Stack×3,14.959779637305152,0.03545525444441438,15.02231614077064,30.118157947056183,0.03427180297298744,5.939891389918461,2.4139092575165537,40.638946052340025,7.722969572162942,13.9
11.0,RotaryLifter,14.92206639784007,0.050010435001238605,14.995581815008224,30.025436357494296,0.009670426709960161,5.528826586960565,2.830499534823324,51.19530320409944,7.196393484740882,15.25
11.0,NoLift,14.908132027215167,0.06031338218132408,14.986200568874974,29.9720370998089,0.0121029387961779,4.986602988575441,3.214864805903129,64.47003728326773,6.498757052201124,15.700000000000001
13.0,SingleKite,14.954363422382006,0.039186994409562144,15.032606294433768,30.160622367308974,0.04096874470805856,10.348468840936583,3.336456488845203,32.241064259157,9.541746385247219,13.4
13.0,Stack×3,14.954297122028334,0.039198518058172066,15.032559859035103,30.160493806006816,0.04096219704102186,10.348082748900977,3.336875928747934,32.24632049934398,9.541492352074354,13.4
13.0,RotaryLifter,14.897846033517066,0.059521148586605586,14.99552001398967,30.027521951905424,0.010223578152637093,9.563802209880643,4.152646723977749,43.420458023353184,8.926416259301067,14.950000000000001
13.0,NoLift,14.880547170714353,0.07179043861564902,14.986184036229456,29.971830887266794,0.012105427842253194,8.971475481672279,4.729895221602239,52.72148635154703,8.372237007218782,15.25
