k_mult,k_mppt,v_wind,twist_mean,twist_std,omega_hub_mean,P_kw_mean
0.25,2.75,8.0,90.56983139847773,2.0857950372183325,8.695284151009751,1.7670338743349912
0.25,2.75,10.0,102.04634027226103,1.5168531687041877,10.841464842333929,3.4143779157685517
0.25,2.75,11.0,105.82448623518258,1.306819297085356,11.911314009461842,4.519643389699091
0.25,2.75,13.0,111.03186074134936,0.9473352998723651,14.046886463812545,7.382037496181446
0.5,5.5,8.0,117.78737664609187,3.243693627164158,7.884076394161918,2.5853330475948972
0.5,5.5,10.0,137.58822665072245,2.761382919360249,9.83796459586566,4.988901904225558
0.5,5.5,11.0,145.11464424290762,2.5995300037918527,10.81338173058488,6.599005832994617
0.5,5.5,13.0,157.21550278445957,2.313832847120029,12.762028736218834,10.758546711594882
1.0,11.0,8.0,141.96038124086576,4.288197374107105,6.770143548845108,3.1765056075444456
1.0,11.0,10.0,169.47639031046137,3.9037322970932427,8.448191624976031,6.088685708010177
1.0,11.0,11.0,180.5639565419866,3.8091578622254616,9.286444450469533,8.025790294962722
1.0,11.0,13.0,199.47962496100016,3.667005072632771,10.961146821890265,12.98792660588319
1.5,16.5,8.0,152.13595247329593,4.803074835548848,5.942862657712255,3.146418058529069
1.5,16.5,10.0,183.3868459980855,4.461399521441049,7.411841998218547,5.98733065465048
1.5,16.5,11.0,196.20352495319335,4.401545290488999,8.145651677336994,7.862896846064431
1.5,16.5,13.0,218.46164201452294,4.338049243390536,9.610469695284085,12.622934206817387
2.5,27.5,8.0,154.59817963414676,5.260771132092544,4.632819519833059,2.404041045749295
2.5,27.5,10.0,188.7473235282509,4.922633341370222,5.7628627808828,4.5071427164588025
2.5,27.5,11.0,202.88651531753482,4.888704437215515,6.327095917447079,5.877163177434443
2.5,27.5,13.0,227.73110069528832,4.895289047074065,7.451576399432177,9.300037076843072
4.0,44.0,8.0,122.07788075737888,4.235552433544996,2.5254811930356027,0.627243140327302
4.0,44.0,10.0,148.9675326169063,3.9054739759396244,3.1279831720581264,1.170100673621072
4.0,44.0,11.0,159.94499787367562,3.8325962485243736,3.415461870506409,1.5072570256051496
4.0,44.0,13.0,178.89443975433454,3.7303479463308764,3.976261654193036,2.3255126177389096
